recipeID,name,category,directions,numberOfServings,author
66,Pecan Tassies,Dessert,"1) Preheat oven to 350 degrees.  In small bowl, with mixer at high speed, beat cream cheese with 7 tbl butter until creamy.  Reduce speed to low add flour and beat until well mixed.

2) With floured hands, divide dough into 24 equal pieces (dough will be very soft).  With floured fingertips, gently press dough pieces evenly onto bottoms & up sides of twenty-four 1 3/4"" by 3/4"" ungreased miniature muffin pan cups.

3) In medium bowl, with wire whisk or fork, mix brown sugar, vanilla, salt, egg and remaining 1 tbl butter until filling is blended.

4) Place half of pecans in pastry-lined cups.  Spoon filling by heaping tsp into each pastry cup; sprinkle tops with remaining pecans.

5) Bake 30 minutes or until filling is set and edges of crust are holden.  With tip of knife, gently loosen tassies from muffin pan cups and place on wire rack to cool completely.  Store tassies in tightly covered container up to 1 week.",2 dozen tassies,
67,Au Gratin Potatoes,Side Dish,"Preheat oven to 400 degrees.  Butter a 1 quart casserole dish.

Slice potatoes into 1/4 inch slices.  Slice onions into rings.

Layer 1/2 of the potatoes into bottom of the casserole dish.  Top with the onion slices, and add the remaining potatoes.  Season with salt and pepper.  

In a medium-size saucepan, melt butter over medium heat.  Mix in the flour and salt, and stir constantly with a whisk for one minute.  Stir in milk.  cook until mixture has thickened.  Stir in cheese all at once, and continue stirring until melted, about 30 to 60 seconds.  Pour cheese over the potatoes, and cover the dish with aluminum foil.

Bake 1 - 1/2 hours in oven.",4,
68,Turkey Injection Marinade,Miscellaneous,"Put ingredients into a quart jar and mix.

Place lid on jar and shake well.  Make sure all the garlic salt is dissolved.

Inject 2/3 of the recipe in the turkey the night before to fry the next day.  Thirty minutes before frying inject the last 1/3.",,
69,Pizza Sauce - Easy,Sauce,"Mix together the tomato paste, water, and olive oil.  Mix well.  Add garlic, pepper, oregano, basil and rosemary.  Mix well and let stand several hours to let flavors blend.  No cooking necessary, just spread on dough.",,
70,Rice Balls - Italian Style (Arancini),Appetizer,"Cook rice following directions, but omit butter.  Cool until easy to handle.  

Fold in slightly beaten egg yolks and grated cheese.  Mix well.

Shape balls using a little more than 1/4 cup each, placing a cube of mozzarella in the center of each (moisten hands for easier shaping).

Beat egg whites in one pie plate, place bread crumbs in another.  Gently roll rice balls in egg white and then in bread crumbs.  Place in flat pan and chill for one hour.  

Heat vegetable oil and fry balls, turning for even cooking - cook until golden.",24 balls,Michelle Higgins
71,Cutlets with Balsamic Vinegar,Entree,"1. Spread bread crumbs on wax paper and press both sides of each cutlet into the crumbs.
2. Heat skillet on medium-high heat.  Add a little oil and cook cutlets on each side until they are lightly browned.  Add a little extra oil after turning.
3. Set meat aside on a plate.
4. Stir butter, garlic, and sage into skillet until aroma fills kitchen (pretty quick).
5. Add chicken broth and brown sugar.
6. Simmer down to about 1/3 cup.
7. Add balsamic vinegar and simmer 1 minute more.
8 Pour some sauce over each cutlet and serve.

Particularly good with parmesan & butter rice.  Yum.",2-3,
72,IHOP Pancakes,Breakfast,Mix ingredients in blender and cook over medium heat until golden brown.,8-10 pancakes,
73,Yaki Soft Tacos,Entree,"Buy a 20 ounce can of pineapple tidbits to make the sauce and tacos.

1) Cut chicken into fairly small pieces.  Make teriyaki sauce (see other recipe)

2) Keep 1 cup of teriyaki sauce aside to put on tacos and use the rest (cooled) to marinade the chicken overnight.

3) When chicken has marinated, preheat a large skillet over medium/low heat.  Wipe the pan with a little oil.  Remove the chicken from the marinade (toss out the marinade) and saute chicken in the pan for 8 to 10 minutes or until chicken is cooked through and browned on both sides.  Microwave the 1 cup of saved teriyaki sauce in the oven for 30 to 60 seconds or until it's hot.  

4) When the chicken is done, preheat another skillet over medium heat.  Toss a tortilla into the pan for minute, then flip it over and add 2 to 3 tablespoons of shredded cheese across the center of the tortilla.  Let the tortilla sit in the pan for about a minute or so (until the cheese starts melting) then remove the tortilla and immediately spoon the equivalent of one chicken tender into the tortilla (3 or 4 bowl over the chicken).  Spoon about 1-1/2 tablespoons of leftover teriyaki sauce over the chicken in each taco.

5) Arrange about 1/3 cup shredded lettuce over the chicken in each taco.  Follow that up with 1 to 2 tablespoons of pineapple chunks, 1 to 2 tablespoons diced tomato, and a couple pinches of chopped green onion.",12 tacos,
74,Teriyaki Sauce,Sauce,"Whisk the cornstarch into the water in a medium saucepan.  Add remaining ingredients, then bring mixture to a boil.  Reduce heat and simmer for 7 to 10 minutes or until thicker.",,
75,Crispy Crepes,Breakfast,"Preheat oven to 350 degrees.  Toast pecans in a shallow baking pan in middle of oven, shaking occassionally, until fragrant and a few shades darker, 8 to 10 minutes.  Toss immediately with 1/2 tbl butter and 1/8 tsp salt.

Melt remaining 3 tbl butter in a well seasoned crepe pan or an 8 inch nonstick skillet.  Blend milk, eggs, flour, remaining 1/4 tsp salt and 2 tbl sugar in a blender until smooth.  Pour in melted butter, leaving a film of butter in skillet, and blend until well combined.

Heat skillet over moderately high heat until hot but not smoking.  Half fill a 1/4 cup measure with batter and, holding skillet off heat, pour in batter, immediately swirling and tilting skillet to create a thin even layer.  (If batter sets before skillet is coated, reduce heat slightly.  Next crepe will be better.)  Return skillet to heat and cook until crepe is golden around edges and dry in center, about 45 seconds.  Flip crepe carefully and cook until golden, about 15 seconds more.  Sprinkle crepe lightly with sugar.

Make more crepes with remaining batter, stacking them as cooked and lightly sprinkling each with sugar.  

Preheat broiler and butter an 8-inch round shallow baking dish.

Heat dulce de leche paste and cream in a small saucepan over moderate heat, stirring, until smooth.  Reduce heat and simmer until slightly thickened, about 1 minute.

Fold crepes into eighths and arrange in baking dish.  Sprinkle lightly with sugar, then broil about 6 inches from heat until edges are cripsy, about 45 seconds.  Serve with sauce and pecans.",,
76,Dulce de Leche,Sauce,"1.  Empty the sweetened condensed milk into a large microwave safe bowl.

2.  Microwave on medium power for two minutes and stir with a wire whisk.

3.  Microwave on medium power for another two minutes and stir.

4.  Return to the microwave for 16 to 24 minutes on medium-low power or until milk turns thick and caramel color, stirring every few minutes.
",,
77,Puffed Apple Pancake,Breakfast,"Preheat oven to 425 degrees.  

Whisk milk, eggs, sugar, vanilla, salt, cinnamon and nutmeg in large bowl until well blended.  Add flour and whisk until batter is smooth.  Place butter in 13x9 inch glass baking dish.  Place dish in oven until butter melts about 5 minutes.  

Remove dish from oven.  Place apple slices in overlapping rows atop melted butter in baking dish.  Return to oven and bake until apples begin to soften slightly and butter is bubbling and beginning to brown around edges of dish, about 10 minutes.  

Pour batter over apples in dish and sprinkle with brown sugar.  Bake pancake until puffed and brown, about 20 minutes.  Sprinkle with powdered sugar if desired.  Serve warm.

",2,
78,Coq Au Vin (Chicken with wine),Entree,"Remove fat from chicken and cut breasts into large chunks.  

In a large skillet cook bacon.  Remove bacon but leave drippings in the pan.  Mix flour, salt and pepper.  Coat chicken pieces with flour mixture.  Brown chicken in bacon drippings. Push chicken off to one side.  Add carrots, onions and garlic.  Cook and stir until onions are tender.  Drain off fat.  Crumble bacon and add to the pan along with the broth, wine, thyme, bay leaf and parsely.  

Bring to a boil, then lower heat and simmer for 45 minutes or until chicken is tender.

Remove chicken, onions and carrots from the sauce.  Thicken sauce by stirring in 1 to 2 tablespoons flour and simmering a few minutes.  Serve with the sauce spooned over the chicken.

",3,
80,Country Captains Chicken,Entree,"Cook rice per directions on bag.

Trim fat off chicken and cut into large chunks.  Season chicken with black pepper.  Combine flour and paprika in a shallow dish.  Coat chicken pieces in paprika seasoned flour - make sure to work the seasoning well into the chicken.  

Heat a large skillet over medium high heat.  Add olive oil to the pan.  Brown chicken pieces, 3 minutes on each side, and remove from the skillet.  Add butter to the pan, then stir in peppers, onions and garlic.  Season the veggies with black pepper and saute them 5 to 7 minutes to soften.

Add curry, chicken stock, tomato sauce and raisins.  Slide chicken back into the skillet and simmer over moderate heat, covered, for 5 minutes to combine flavors and finish cooking the chicken through.  Place chicken with sauce in a serving dish and garnish with almonds.  Place rice in a serving dish and garnish with scallions.",4 or 5,
81,Pizza Dough,Miscellaneous,"Mix dry ingredients in bowl first, then add water.  Mixture may appear too dry, keep kneeding, do not add water.  Kneed until smooth.  Set aside to rise for 1 hour.  Punch down and knead again.  Freeze at this point if desired.  At this point (or after thawing frozen), let rise for 1 hour again.  Punch down one last time and use.",2 pizza crusts,
82,Chicken with Feta Cheese And Bacon,Entree,"Combine olive oil, lemon juice, garlic, oregano, salt and pepper in a small bowl and set aside.

Preheat oven to 350 degrees.  Mix feta and ricotta cheese and crumbled bacon in a small bowl.  Stuff chicken breasts with cheese mixture.  Secure open sides with toothpicks.  

Place chicken breasts in a baking pan and pour oil mixture over chicken.  Bake uncovered at 350 degrees for 30 to 35 minutes.",3,
83,Hooter's Wings,Appetizer,"-In a shallow dish, combine flour, salt, red pepper, and paprika.
-Coat chicken in the flour mixture; refrigerate coated wings for 1 hour; coat chicken again with remaining flour mixture.
-In a 2-quart saucepan, heat butter, hot sauce, pepper, and garlic powder just until butter melts; turn heat to low and keep warm on stove top.
-Deep-fry chicken, 8 - 10 pieces at a time, in 375 degree oil for 13 minutes.
-Drain chicken on brown paper bags.
-Immediately toss fried chicken in buffalo sauce mixture and remove with a slotted spoon.
-Repeat with remaining chicken.

Adjusting the spiciness of the sauce: As is, the recipe produces a medium sauce. To change the amount of spiciness, simply adjust the butter-to-hot sauce ratio:
Mild: Use 3/4 cup butter and 1/4 cup hot sauce.
Hot: Use 1/4 cup butter and 3/4 cup hot sauce.

Notes: Use ranch or blue cheese dressing  as a dip for these fabulous wings.
",4,
84,Hawaiian Skillet Chicken,Entree,"1.  If the chicken breasts are thick, slice them in half longwise so that they are fairly thin.  Place flour, salt and pepper in a ziploc bag.  Place chicken pieces in bag one at a time and shake until covered with flour mixture.

2.  In a large, heavy skillet, heat oil over medium heat.  Once the oil is hot, add the chicken pieces to the skillet.  Saute until nicely brown and cooked through.  Transfer chicken to a plate and remove the skillet from the heat.

3.  Add the pineapple with the juice, brown sugar, soy sauce, ginger, cloves and paprika.  Return the skillet to medium heat and stir for a minute.  Add the tablespoon of flour and continue to heat the sauce, stirring to collect any remaining juices and brown bits from pan, and allowing it to thicken slightly (about 2 minutes).  Pour the sauce over the chicken and serve with white rice.",3,Michelle Higgins
85,Brown Sugar Glazed Carrots,Side Dish,"Cut carrots into 1/4 inch thick slices.  Heat 1 inch water to boiling in the saucepan over high heat.  Add the carrot slices.  Cover and heat to boiling again.  Reduce heat just enough so water bubbles gently.  Cook covered 12 to 15 minutes or until carrots are tender when pierced with a fork.  While carrots are cooking, heat the brown sugar, margarine, and orange peel in the skillet over medium heat, stirring constantly, until sugar is dissolved and mixture is bubbly.  Be careful not to overcook or the mixture will taste scorched.  Remove the skillet from the heat.  

Drain carrots in a strainer, then stir them into the brown sugar mixture.  Cook over low heat about 5 minutes, stirring occassionally and gently, until carrots are glazed and hot. 

*note* The brown sugar will not dissolve, just wait until the butter is melted and things are combined.  Pretty much once you have bubbles you are good.",6,Michelle Higgins
86,German Oven Pancakes - Better,Breakfast,"1.  Preheat oven to 475 degrees (NOT CONVECTION)

2.  In a medium bowl, beat eggs with an electric mixer.  Mix in milk, cream, sugar, salt, and vanilla.  Mix until sugar is dissolved.  Sift in flour (and yes, you should do that) and mix until smooth.  Let batter rest for about 10 minutes.

3.  Coat the bottom of a 9 or 10 inch oven-safe skillet (cast iron is best) with melted butter.  Pour batter into the pan, and bake for 14 to 16 minutes or until golden brown on top and dark brown around the edges.  Pancake will rise substantially while cooking.  Remove the pancake from the oven and let it sit for about a minute.  Loosen the pancake around the edge with a spatula, then slide it out of the pan onto a plate.  Dust with powdered sugar and serve with lemon wedges, butter and syrup on the side.",2,
87,Honey Mustard Dressing,Miscellaneous,"Mix together
",,
88,Potstickers Dipping Sauce,Sauce,Combine all together and store in a sealed container,2,
89,Turkey Tetrazzinni,Entree,"Make sauce: Melt butter in saucepan.  Stir in flour, salt, nutmeg and cayenne pepper until smooth.  Slowly stir in milk and chicken broth; bring to a boil, stirring constantly.  Boil gently for 2 minutes or until slightly thickened.

  Beat egg yolks with cream in small bowl.  Gently beat in a little of the hot mixture.  Return to saucepan and cook over low heat until hot - do not boil.  Remove from heat and stir in sherry.

Cook spaghetti per package directions and drain.  Add 2 cups of sauce to drained spaghetti and toss until well blended.  Add turkey to remaining sauce and blend well.

  Spread spaghetti in 12x8x2 baking dish.  Spoon turkey mixture over the top.  Sprinkle with cheddar cheese then cover the top with Parmesan cheese.

  Cover and bake in preheated 300 degree oven for 25 minutes; uncover and add breadcrumbs and bake for another 10-15 minutes until browned.",,
90,Cream Currant Scones,Breakfast,"Preheat oven to 425 

Whisk together flour, baking powder, salt and sugar in a lage bowl (or 6 1-second pulses in a food processor). 
Cut in the butter (or 12 1-second pulses in a food processor) 
Add currents and mix quickly (1 second pulse in food processor) 
Transfer to large bowl, add cream and stir about 30 seconds, then knead for about 10 seconds into a sticky ball 
Press dough into a greased 8 in round cake pan and then flip over onto parchment paper. Cut the dough into 8 wedges (like a pizza) 
Put wedges on parchment paper on a cookie sheet, and bake 12-15 minutes, until tops are golden brown.  Cool for 10 minutes and serve. 
",,Val Nicotina
91,Chicken Fingers - Ultimate,Entree,"Preheat oven to 450 degrees.  Line cookie sheet with foil, spray with cooking spray.  In 1-gallon ziploc bag mix Bisquick, cheese, salt and paprika.

Cut chicken into 1/2 inch strips.  Dip half the chicken strips into egg; place in bag of Bisquick mixture.  Seal bag and shake to coat.  Place chicken on cookie sheet.  Repeat to use up remaining chicken.  Drizzle butter over chicken.

Bake 12-14 minutes, turning halfway through bake time with pancake turner, until no longer pink in center.",,Michelle Higgins
92,Chocolate Chip Cookies - Best Recipe,Dessert,"1. Adjust oven racks to middle position and preheat oven to 375 degrees.

2. Whisk flour, salt, and baking soda together in small bowl; set aside

3. Cream together butter and sugars until light and fluffy (about 3 minutes with electric mixer at medium speed).

4. Add eggs, vanilla, and water to sugar mixture.  Beat until combined, about 40 seconds.

5. Add dry ingredients and beat at low speed until just combined, 20 seconds.

6. Stir in nuts and chocolate chips.

7. Drop by tablespoons onto cookie sheet lined with parchment paper.

8. Bake, reversing the position of the cookie sheet halfway thorugh baking (from top to bottom and front to back), until cookies are light golden brown and edges begin to crisp, 8-10 minutes.

9. Cool on sheets for 2 minutes beofre transfering to cooling racks with spatula.",,Val Nicotina
93,McDonald's Biscuits,Bread,"Stir together flour, powdered milk, sugar, baking powder, salt and cream of tarter in medium bowl.
Cut shortening into dry mixture until blended thoroughly.
Stir in buttermilk and 2 tbl melted margarine until well blended.
Knead on floured surface 1 minute or until elastic.
Roll out dough to 1/2"" - 3/4"" thick (better a little thicker).  Cut out circles with a wide glass.
Place on ungreased cookie sheet and bake at 450 deg for 10-12 minutes until golden brown.
Brush while hot with remaining melted margarine.
",,Chris Higgins
94,BBQ Sauce (good for brisket),Sauce,Heat oil in saucepan over medium heat.  Add onion and garlic; cook and stir until onion is tender.  Add remaining ingredients and simmer over medium heat for 5 minutes.  Yum.,,Chris Higgins
95,Italian Meatballs,Entree,"Mix all above ingredients by hand.  Make small meat balls and brown well.

Credit to Aunt Theresa for this recipe.",,Michelle Higgins
96,Chicago Deep Dish Pizza,Entree,"Note: I usually halve this recipe and use two 9"" metal pie plates.

 Add tepid water to mixing bowl and stir in yeast.  Add vegetable oil, 4 tbl olive oil, cornmeal, and 3 cups of flour.  Mix until well blended.  Slowly mix in the rest of the flour and knead for 10-15 minutes.  Allow dough to rise until doubled, punch down and then let rise until double again.
  Preheat oven to 425F.
  Oil pans with a bit of olive oil.  Divide the dough between the two pans and press to cover the bottom and up the sides.  Dough should be about 1/8 inch thick.
  Layer bottom of pies with mozzarella.  Cover cheese with tomatoes, sprinkle on basil, oregano, and garlic.  Add salt ot taste.  Add any additional toppings (sausage, pepperoni, olives, etc.).  Liberally sprinkle with grated Pamesan and drizzle remaining olive oil over pies.
  Bake at 475F for 35 to 40 minutes until top is golden and gooey and crust is light golden brown.
",,Chris Higgins
97,Cheesy Herbed Eggs,Breakfast,"Place eggs in a large bowl and beat until uniform.  Add in cream, lemon, basil, oregano and rosemary and mix well.  Add in cheeses and mix.

Melt butter in a large skillet.  Cook and stir gently over medium heat until eggs are done.

Makes enough for 4 people, three if they are really hungry.",,Michelle Higgins
98,Indian scrambled eggs,Breakfast,"mix up eggs, then add uncooked onion, tomato and cilantro.  Stir together and pour into heated frying pan.  Add pepper as desired.  Onions should still be crunchy when done.",,Val Nicotina
99,Pancakes - Very Yummy,Breakfast,"Preheat skillet.  Pancakes work best on a hot skillet.  

Mix all ingredients in a blender until smooth.  Real buttermilk will work much better than the milk and lemon juice substitute that you can sometimes get away with, you need the thicker texture of the real buttermilk.

Put some non-stick spray in the pan and cook like a pancake.

Makes 8 to 10 pancakes.",,Michelle Higgins
100,Indian Corn Spice Rub,Miscellaneous,"Heat a BBQ grill to 300 degrees or so.  Put the cobs on the grill and let cook for 20 minutes or so.  In our class they took the husks off for a drier corn texture.  I have seen several suggestions that you leave the husks on for a moister texture.  We haven't tried that yet.

Mix all dry ingredients in a small bowl.  Cut the lemon in half.  Dip the lemon in the mixture and rub it on the corn.  Note that this rub is very strong, so don't rub too much on, it just takes a bit.

The original recipe from our class called for a full teaspoon of salt and 1/2 tsp of chili powder.  We found this to be a bit too strong, but this recipe is so simple you can play with it to get what you want.",,Michelle Higgins
101,Mango Lassi - From class,Miscellaneous,"I use Dannon Natural Vanilla Yogurt personally and I like the texture and flavor it gives.

In a blender put mangoes and yogurt (1 cup at a time) and mix until smooth.  Pour into individual cups and garnish with crushed pistachios.  This made enough for 5 people, so it's a pretty big batch and it maxed out my blender.",,Michelle Higgins
102,Tandoori Chicken - from class,Entree,"Tie the yogurt in a muslin cloth (cheese cloth) or pour into a coffee filter and place it over a sieve to drain the excess water.  With Dannon Natural Vanilla yogurt this took about a half an hour to 45 minutes.  The teacher said it would take about 15 minutes, but maybe her yogurt was drier.

Make 2-3 quarter inch deep cuts in all the chicken pieces.  Mix 1 tsp chili powder, salt and 2 tbl lemon juice in a small bowl.  Apply this mixture to the chicken pieces and leave it for half an hour. 

In a deep bowl mix the yogurt with the rest of the chili powder, ginger paste, garlic paste, garam masala, food coloring and mustard oil.  Add the chicken to the marinade and coat well with mixture.  Refrigerate for 3-4 hours.

Heat a BBQ grill to a moderate temperature (400 degrees or so) and cook the chicken for 10-12 minutes.  Baste the chicken with butter and cook for an additional 5 mintues.  Garnish the chicken with sprinkles of chaat masala.",,Michelle Higgins
103,Mommy's Chicken and Potato Feast,Entree,"Sammy and I invented this in the kitchen using the bits and pieces of a few different recipes, but mostly just our own ideas.  Since this was our own concoction I told Sammy that it needed a name and she came up with ""Mommy's Chicken and Potato Feast"".  It seemed appropriate, everyone had at least three helpings, including Sammy.

Wash the potatoes and cut them into fourths.  Put them in an 8 or 9 inch square casserole dish with the 1 tbl butter, basil and oregano and cook them on high in the microwave until done.  This took about 10 minutes in our overachieving microwave.  Make sure you stop it and stir the potatoes around a few times so that they cook evenly.

While the potatoes are cooking cut the chicken into fairly large long chunks.  Heat up the pan with 1 tbl butter (might need 2 depending on your pan).  Cook the chicken in the pan until cooked through and nicely browned.  

While the potatoes and chicken are cooking you need to make the sauce.  Add the wine, lemon juice and garlic to a small pot and reduce for 3 minutes.  Add the cream and sage and cook for another 2 minutes or until bubbling again.  Finally, add the butter and whisk until it is all combined.

When the chicken and potatoes have finished cooking, add the chicken to the casserole dish.  Pour the sauce over the chicken and potatoes and serve.  

I am thinking that if you had the time it would be nice to just brown the chicken and partly cook the potatoes and then put them together and let them cook in the sauce for a while in the oven.  I haven't tried that yet, if someone does, let me know how it comes out :-)",,Michelle Higgins
104,Marinated Pepper-crusted Beef Tenderloin,Entree,"Combine port, soy sauce, oil, 1 ½ teaspoons pepper, thyme, hot pepper sauce, garlic and bay leaf in bowl and mix well. 

Place beef in large, shallow dish. Pour wine mixture over beef. Marinate, tightly covered and refrigerated, 8 to 10 hours and up to 24, turning occasionally. Drain beef, reserving marinade. Bring marinade to boil in saucepan. Boil 3 minutes and remove from heat. Discard bay leaf. 

Preheat oven to 425 F. Coat beef with coarsely ground pepper. Place beef on rack in roasting pan. Insert a meat thermometer into beef. Bake 45 to 60 minutes, or until meat thermometer registers 140 F for medium rare or 150 F for medium, brushing frequently with warm reserved marinade. Makes 12 servings. 

PER SERVING: Calories 404 (48% fat) Fat 21 g (8 g sat) Cholesterol 142 mg Sodium 535 mg Trace fiber Carbohydrates 2 g Protein 47 g 

",,Chris Higgins
105,Paint - Puffy,Miscellaneous,"1.  Mix together the salt, flour, and water; the mixture should be about the consistency of pudding.

2. Add food coloring until the desired shade is reached, then use a funnel to transfer the paint to a squeeze bottle.  You can also tranfer the paints to a ziplock bag, then snip off one tiny corner of the bag for a make-it-yourself applicator.

This makes a puffy paint that glitters when dry.  It works much better on heavier paper like card stock or poster paper.",,Michelle Higgins
106,Pizza Dough - 2,Entree,"Whisk together yeast, 1 tbl flour and 1/4 cup warm water in a measring cup and let stand until mixture develops a creamy foam, about 10 minutes. (If mixture doesn't foam, discard and start over with new yeast).

Stir together salt and 1 1/2 cups flour in a large bowl.  Add yeast mixture and remaining 3/4 cup warm water and stir until smooth, then stir in another 1/2 cup flour.  If dough sticks to your fingers, stin just enough flour (up to 3/4 cup) a little at a time, to make dough just come away from side of bowl.  This dough may be wetter than other pizza doughs you have made.  

Knead dough on a lightly floured surface with floured hands, lightly reflouring work surface and your hands when dough becomes too sticky, until dough is smotth, soft, and elastic, about 10 minutes.  Divide dough in half and form into 2 balls, then generously dust balls all over with flour and put each in a medium bowl.  Cover bowls with plastic wrap and let dough rise in a warm, draft-free place until doubled in bulk, 1 to 1 1/4 hours.

Makes two 10 inch pizzas.  I like to add some oregano and basil to the dough when you are doing the first mix to add some flavor.",,Michelle Higgins
107,Auntie Anne's Pretzels,Miscellaneous,"1. Dissolve the yeast in the warm water in a small bowl or cup.  Let it sit for a few minutes.
2. Combine the flour, powdered sugar and salt in a large mixing bowl.  Add water with yeast and vegetable oil. Stir with a spoon and then use your hands to form the dough into a ball.  Knead the dough into a lightly oiled bowl, cover it and store it in a warm place for about 45 minutes or until the dough doubles in size.
3. When dough has risen, preheat oven to 425 degrees.
4. Make a bath for the pretzels by combining the baking soda with the warm water and stir until baking soda is mostly dissolved.
5. Remove the dough from the bowl and divide it into 8 even portions.  Roll each portion on a flat non-floured surface until it is about 3 feet long. Pick up both ends of the dough and give it a little spin so the middle of the dough spins around once.  Lay the dough down with the loop nearest to you.  Fold the ends down toward you and pinch to attch them to the bottom of the loop.  The twist should be in the middle and it should look like a pretzel.  We have also just cut them into bite sizes which works really well for finger snacks.
6. Holding the pinched ends, dip each pretzel into the bath solution.  Put each pretzel on a paper towel for a moment to blot the excess liquid.  Arrange the pretzels on a baking sheet sprayed with non-stick spray.  If you want salt, sprinkle pretzels with kosher or pretzel salt.  Don't salt any pretzels you plan to coat with cinnamon/sugar. You will likely have to use two baking sheets, and be sure to bake them separately.  Bake the pretzels for 4 minutes, then spin the pan halfway around and bake for another 4 to 5 minutes or until the pretzels are golden brown.
7. Remove the pretzels from the oven and let them cool for a couple of minutes.  If you want to eat some now, brush with melted butter first, if desired, before serving.  If you want the cinnamon/sugar coating, make it by combining the 1/2 cup sugar and 2 tsp cinnamon in a small bowl.  Brush the unsalted pretzels with a generous amount of melted butter.  Sprinkle a heavy coating of the cinnamon/sugar onto the entire surface of the pretzels over a plate.  Munch out.

Credit: http://www.TopSecretRecipes.com

Makes 8 pretzels",,Michelle Higgins
108,Lemon Butter for Plank Chicken,Sauce,"This is the recipe that use with plank chicken, but it's also tasty for anytime you want a lemon butter sauce.

Reduce the wine and lemon juice with the shallots (you can use garlic if you don't have shallots) for 2 minutes. Add the cream and reduce for 2 minutes.  Using a whisk, slowly encorporate the butter.  Season with pepper to taste.",,Michelle Higgins
109,Plank chicken,Entree,"Soak planks for at least 1 hour in water.

Preheat grill.

Mix together all the seasonings in a small bowl.  

Cut potatoes into small cubes and put in a small casserole dish with the butter and some of the seasonings.  Cook in the microwave for 2 minutes, then stir.  Repeat cooking for 2 minutes and stirring until they start to soften.  If you don't stir often they will not cook evenly.

Cut chicken breasts into strips, about 3 per breast.  Coat the chicken in the seasoning mix.

When the potatoes are done, remove the planks from the water.  Arrange the chicken and potatoes on the planks so that the pieces of chicken do not touch each other.  

Put the planks on the grill and cook with the cover down for about 20 minutes.  While the chicken is cooking, make the ""Lemon Butter for Plank Chicken"" recipe found under sauces.  When the chicken is done, serve on the planks with the sauce.

You can also experiment with adding other vegetables or meats.  I have tried this with steak or shrimp and it works well.  Adding onions, zuchinni, peppers or any other veg works well.  If the veg takes a long time to cook like potatoes or carrots, then you need to cook them ahead of time before putting them on the plank.
",,Michelle Higgins
110,Sweet Egg-Free Pancakes,Breakfast,"!!!! Note: qty in parens is for 10x batch !!!!

Sift together dry ingredients... mix together wet ingredients in separate bowl.  Add wet to dry mixing until combined, do no overmix or pancakes will be tough.  Heat a NONSTICK pan with a bit of veg oil and cook.",,Michelle Higgins
111,Apple Pancakes,Breakfast,"1. In a large bowl combine butter, egg, milk and apple.  In a separate bowl combine all dry ingredients.  Stir dry ingredients into the wet ones.  Cook like normal pancakes.

*Note - if making lactose free pancakes, the egg substitute and silk make them too chewy.  Add some water to thin the mix so that they will spread out - or I'd like to try replacing the egg substitute with oil instead to see if that makes them cook better.",,Michelle Higgins
112,Chili,Entree,"In a large pan cook beef, onion and green pepper until meat is browned.  Drain if necessary.  Add kidney beans with the juice, tomatoes with the juice and all other ingredients.  Simmer, covered, for 30 minutes or longer.  

Note - We like a LOT of chili powder.  More conservative tastes may wish to start at 2 tsp and work their way up.",,Michelle Higgins
113,Chicken and Orange Casserole,Entree,"If using full chickens, trim the fat and remove the skin, then cut each chicken into 8 pieces and discard the backbones.  If using chicken breasts, trim the fat and cut each breast into 3 or 4 pieces.

Heat a teaspoon of olive oil in a large, deep, heavy based pan.  Add the bacon and cook over medium heat for 2-3 minutes or until just crisp.  Remove from the pan and set on paper towels to drain.  Add the remaining oil and 2 tbl butter to the pan.  Add onions to pan and cook until dark golden brown - stirring often to keep them browning evenly.  Remove onions from pan and set aside.

Add the chicken pieces to the pan and brown over medium heat.  Remove from pan and drain on paper towels.  

Add the remaining butter to the pan.  Stir in the garlic, ginger, orange rind, cumin, cardamom and honey.  Cook, stirring for one minute.  Add the orange juice, wine and chicken stock to the pan.  Bring to a boil, then reduce to a simmer.  Return the chicken pieces, onions, bacon to the pan and add the carrots.  Cook until the carrots are tender - 15 to 20 minutes.  

*Notes - I added about a tablespoon of gravy flour to thicken the sauce.  The original version of this recipe adds only the chicken back into the sauce at first, cooks covered for 40 minutes, then adds the onions and bacon back in and cooks for another 15 minutes, covered.  Then they add in the carrots and cook until they are tender.  I have never tried this because I never have that kind of time, so it might be awesome.  My version takes about an hour less to cook and there are no leftovers.  I also note that I specify the type of orange juice.  This recipe wasn't sponsored by Minute Maid, it's just that I find Tropicana far too bitter to use in a sauce.  I also find that the low acid version is much easier on everyone's stomach.",,Michelle Higgins
114,Fajita Seasoning 2,Miscellaneous,"Note: May want to reduce salt a bit... reduce cayenne and red pepper to make more mild.

Combine all ingredients and mix well - equivalent to 3 packets of commercial seasoning packets.

Heat pan with oil until hot.  Add meat and cook for about 5 minutes... add about 3 tbl seasoning mix, onions, peppers, etc.  Mix well and cook until tender.

",,Michelle Higgins
115,Blueberry Babies (Muffins),Breakfast,"Preheat oven to 400 deg.  Butter 12 standard muffin tins.
Mix together dry ingredients.  In separate bowl wisk together liquid ingredients.
Combine wet/dry and mix until just combined.
Gently stir in blueberries
Divide among muffin tins.  Sprinkle tops with a bit of sugar if desired.

Bake 15-20 (20 for egg/milk subst) minutes or until they pass toothpick test.   Let cool 5 minutes before removing from tins.",,Michelle Higgins
